product_name,quantity,expiry_date,price
Organic Apples,50,2026-01-10,45.00
Fresh Milk,100,2026-01-11,28.50
Whole Wheat Bread,75,2026-01-09,35.00
Organic Vegetables Mix,30,2026-01-12,120.00
Fresh Yogurt,200,2026-01-15,25.00
Brown Rice,150,2026-01-20,60.00
Olive Oil,40,2026-01-18,180.00
Fresh Fish Fillet,25,2026-01-09,250.00
Chicken Breast,60,2026-01-10,150.00
Sugar (1kg packs),100,2026-02-15,45.00
Dairy Cream,80,2026-01-11,55.00
Fresh Fruits Basket,35,2026-01-12,200.00
Wheat Flour,120,2026-01-25,40.00
Meat Sausages,45,2026-01-10,95.00
Apple Juice,90,2026-01-14,35.00
